keyword,timestamp,google_domain,country,language,device,position,title,url,domain,displayed_url,snippet,serp_id
ai-overview,2026-09-04T18:24:55.249Z,www.google.com,us,en,desktop,6,result 6,https://site6.example.com/page,site6.example.com,site6.example.com › page,Snippet for result 6.,30ac2068-14f5-4ae0-85f4-db7455a6afb0
ai-overview,2026-09-04T18:24:55.249Z,www.google.com,us,en,desktop,7,result 7,https://site7.example.com/page,site7.example.com,site7.example.com › page,Snippet for result 7.,30ac2068-14f5-4ae0-85f4-db7455a6afb0
ai-overview,2026-09-04T18:24:55.249Z,www.google.com,us,en,desktop,8,result 8,https://site8.example.com/page,site8.example.com,site8.example.com › page,Snippet for result 8.,30ac2068-14f5-4ae0-85f4-db7455a6afb0
ads-and-local,2026-09-04T18:24:55.256Z,www.google.com,us,en,desktop,1,result 1,https://site1.example.com/page,site1.example.com,site1.example.com › page,Snippet for result 1.,3c3713bf-9794-4e0f-8ad2-96515edc1bfd
ads-and-local,2026-09-04T18:24:55.256Z,www.google.com,us,en,desktop,2,result 2,https://site2.example.com/page,site2.example.com,site2.example.com › page,Snippet for result 2.,3c3713bf-9794-4e0f-8ad2-96515edc1bfd
ads-and-local,2026-09-04T18:24:55.256Z,www.google.com,us,en,desktop,3,result 3,https://site3.example.com/page,site3.example.com,site3.example.com › page,Snippet for result 3.,3c3713bf-9794-4e0f-8ad2-96515edc1bfd
ads-and-local,2026-09-04T18:24:55.256Z,www.google.com,us,en,desktop,4,result 4,https://site4.example.com/page,site4.example.com,site4.example.com › page,Snippet for result 4.,3c3713bf-9794-4e0f-8ad2-96515edc1bfd
ads-and-local,2026-09-04T18:24:55.256Z,www.google.com,us,en,desktop,5,result 5,https://site5.example.com/page,site5.example.com,site5.example.com › page,Snippet for result 5.,3c3713bf-9794-4e0f-8ad2-96515edc1bfd
ads-and-local,2026-09-04T18:24:55.256Z,www.google.com,us,en,desktop,6,result 6,https://site6.example.com/page,site6.example.com,site6.example.com › page,Snippet for result 6.,3c3713bf-9794-4e0f-8ad2-96515edc1bfd
ads-and-local,2026-09-04T18:24:55.256Z,www.google.com,us,en,desktop,7,result 7,https://site7.example.com/page,site7.example.com,site7.example.com › page,Snippet for result 7.,3c3713bf-9794-4e0f-8ad2-96515edc1bfd
sparse-serp,2026-09-04T18:24:55.260Z,www.google.com,us,en,desktop,1,result 1,https://site1.example.com/page,site1.example.com,site1.example.com › page,Snippet for result 1.,3af5ba14-8285-40fb-8f01-86987468ba3c
sparse-serp,2026-09-04T18:24:55.260Z,www.google.com,us,en,desktop,2,result 2,https://site2.example.com/page,site2.example.com,site2.example.com › page,Snippet for result 2.,3af5ba14-8285-40fb-8f01-86987468ba3c
sparse-serp,2026-09-04T18:24:55.260Z,www.google.com,us,en,desktop,3,result 3,https://site3.example.com/page,site3.example.com,site3.example.com › page,Snippet for result 3.,3af5ba14-8285-40fb-8f01-86987468ba3c
